Date,UNRATE,UNRATE.L,UNRATE.L2,CPI,ICSA,CCSA,INDPROD,CONSUMPTION,UNRATE.1
1/1/1968,3.7,0.0,0.0,3.6,863000,4693000,3.1,7.4,3.8
2/1/1968,3.8,3.7,0.0,3.6,843000,4656000,4.6,8.2,3.7
3/1/1968,3.7,3.8,3.7,3.9,976000,5696000,5.6,9.8,3.5
4/1/1968,3.5,3.7,3.8,3.9,796000,4304000,4.7,8.5,3.5
5/1/1968,3.5,3.5,3.7,4.2,796000,4314000,6.8,9.5,3.7
6/1/1968,3.7,3.5,3.5,4.2,968000,5329000,7.2,9.8,3.7
7/1/1968,3.7,3.7,3.5,4.5,785000,4242000,7.3,11.2,3.5
8/1/1968,3.5,3.7,3.7,4.5,997000,5425000,5.6,11.2,3.4
9/1/1968,3.4,3.5,3.7,4.5,764000,4206000,6.2,10.2,3.4
10/1/1968,3.4,3.4,3.5,4.7,744000,4173000,5.5,11.6,3.4
11/1/1968,3.4,3.4,3.4,4.4,917000,5211000,5.4,11.5,3.4
12/1/1968,3.4,3.4,3.4,4.7,798000,4303000,4.6,9.8,3.4
1/1/1969,3.4,3.4,3.4,4.7,766000,4366000,5.3,9.9,3.4
2/1/1969,3.4,3.4,3.4,4.7,784000,4394000,5.6,10.3,3.4
3/1/1969,3.4,3.4,3.4,5.2,945000,5389000,6.1,8.2,3.4
4/1/1969,3.4,3.4,3.4,5.5,736000,4143000,5.6,9.2,3.4
5/1/1969,3.4,3.4,3.4,5.5,906000,5022000,4.0,9.2,3.5
6/1/1969,3.5,3.4,3.4,5.5,768000,4035000,4.7,8.0,3.5
7/1/1969,3.5,3.5,3.4,5.4,835000,4346000,5.4,7.0,3.5
8/1/1969,3.5,3.5,3.5,5.4,992000,5420000,5.3,7.6,3.7
9/1/1969,3.7,3.5,3.5,5.7,779000,4362000,4.9,7.9,3.7
10/1/1969,3.7,3.7,3.5,5.7,797000,4457000,4.7,8.2,3.5
11/1/1969,3.5,3.7,3.7,5.9,1025000,5839000,2.4,7.6,3.5
12/1/1969,3.5,3.5,3.7,5.9,879000,5015000,1.8,8.0,3.9
1/1/1970,3.9,3.5,3.5,6.2,1235000,6829000,-0.7,7.7,4.2
2/1/1970,4.2,3.9,3.5,6.4,1034000,5684000,-1.4,7.7,4.4
3/1/1970,4.4,4.2,3.9,6.1,1073000,5934000,-2.3,7.4,4.6
4/1/1970,4.6,4.4,4.2,6.1,1301000,6560000,-2.2,7.1,4.8
5/1/1970,4.8,4.6,4.4,6.0,1552000,9132000,-1.9,7.0,4.9
6/1/1970,4.9,4.8,4.6,6.0,1186000,7399000,-3.2,7.6,5
7/1/1970,5.0,4.9,4.8,5.7,1146000,7516000,-3.4,7.6,5.1
8/1/1970,5.1,5.0,4.9,5.7,1427000,9698000,-3.8,7.1,5.4
9/1/1970,5.4,5.1,5.0,5.7,1274000,8225000,-4.5,7.5,5.5
10/1/1970,5.5,5.4,5.1,5.6,1668000,11071000,-6.4,6.4,5.9
11/1/1970,5.9,5.5,5.4,5.6,1301000,9199000,-6.1,5.8,6.1
12/1/1970,6.1,5.9,5.5,5.6,1224000,8840000,-3.7,6.9,5.9
1/1/1971,5.9,6.1,5.9,5.3,1494000,10503000,-1.1,7.5,5.9
2/1/1971,5.9,5.9,6.1,4.7,1136000,8400000,-1.2,7.2,6
3/1/1971,6.0,5.9,5.9,4.4,1175000,8555000,-1.2,7.9,5.9
4/1/1971,5.9,6.0,5.9,4.2,1150000,8581000,-0.4,8.3,5.9
5/1/1971,5.9,5.9,6.0,4.4,1461000,10853000,0.2,7.6,5.9
6/1/1971,5.9,5.9,5.9,4.4,1186000,8747000,1.0,8.3,6
7/1/1971,6.0,5.9,5.9,4.4,1466000,10612000,0.4,7.8,6.1
8/1/1971,6.1,6.0,5.9,4.4,1301000,8750000,0.0,8.0,6
9/1/1971,6.0,6.1,6.0,4.1,1281000,8957000,2.4,8.2,5.8
10/1/1971,5.8,6.0,6.1,3.8,1488000,11023000,5.2,8.7,6
11/1/1971,6.0,5.8,6.0,3.5,1148000,8583000,6.3,9.8,6
12/1/1971,6.0,6.0,5.8,3.3,1092000,8348000,5.1,9.4,5.8
1/1/1972,5.8,6.0,6.0,3.3,1356000,9616000,6.8,8.2,5.7
2/1/1972,5.7,5.8,6.0,3.8,1054000,7706000,8.1,8.4,5.8
3/1/1972,5.8,5.7,5.8,3.5,1051000,7595000,9.0,9.9,5.7
4/1/1972,5.7,5.8,5.7,3.5,1315000,9439000,9.5,9.2,5.7
5/1/1972,5.7,5.7,5.8,3.2,1071000,7501000,8.9,9.7,5.7
6/1/1972,5.7,5.7,5.7,3.0,1093000,7453000,8.8,8.8,5.6
7/1/1972,5.6,5.7,5.7,3.0,1488000,9749000,9.0,10.2,5.6
8/1/1972,5.6,5.6,5.7,2.9,1014000,7253000,11.1,10.1,5.5
9/1/1972,5.5,5.6,5.6,3.2,1281000,8993000,10.2,9.6,5.6
10/1/1972,5.6,5.5,5.6,3.2,1004000,7014000,10.7,11.1,5.3
11/1/1972,5.3,5.6,5.5,3.4,1003000,6928000,11.6,11.0,5.2
12/1/1972,5.2,5.3,5.6,3.4,1212000,8473000,11.5,10.7,4.9
1/1/1973,4.9,5.2,5.3,3.6,914000,6485000,9.7,11.6,5
2/1/1973,5.0,4.9,5.2,3.9,888000,6354000,10.2,12.2,4.9
3/1/1973,4.9,5.0,4.9,4.8,1136000,7850000,9.4,11.2,5
4/1/1973,5.0,4.9,5.0,5.3,956000,6215000,8.2,11.1,4.9
5/1/1973,4.9,5.0,4.9,5.5,961000,6237000,8.9,11.0,4.9
6/1/1973,4.9,4.9,5.0,6.0,1194000,7836000,8.8,10.9,4.8
7/1/1973,4.8,4.9,4.9,5.7,971000,6407000,9.3,10.9,4.8
8/1/1973,4.8,4.8,4.9,7.4,1033000,6659000,7.7,9.9,4.8
9/1/1973,4.8,4.8,4.8,7.4,1234000,8351000,7.7,11.3,4.6
10/1/1973,4.6,4.8,4.8,8.1,966000,6657000,7.2,9.2,4.8
11/1/1973,4.8,4.6,4.8,8.3,1015000,6824000,6.4,9.5,4.9
12/1/1973,4.9,4.8,4.6,8.9,1420000,8829000,5.0,8.7,5.1
1/1/1974,5.1,4.9,4.8,9.6,1221000,7828000,3.5,8.3,5.2
2/1/1974,5.2,5.1,4.9,10.0,1274000,8049000,1.7,7.7,5.1
3/1/1974,5.1,5.2,5.1,10.1,1558000,10278000,1.7,8.2,5.1
4/1/1974,5.1,5.1,5.2,10.1,1172000,8264000,1.6,9.0,5.1
5/1/1974,5.1,5.1,5.1,10.7,1190000,8207000,1.6,9.6,5.4
6/1/1974,5.4,5.1,5.1,10.9,1528000,10381000,1.4,9.9,5.5
7/1/1974,5.5,5.4,5.1,11.5,1238000,8491000,1.1,9.8,5.5
8/1/1974,5.5,5.5,5.4,10.9,1707000,10869000,0.2,11.9,5.9
9/1/1974,5.9,5.5,5.5,11.9,1443000,9118000,-0.6,9.9,6
10/1/1974,6.0,5.9,5.5,11.8,1587000,9795000,-1.6,10.5,6.6
11/1/1974,6.6,6.0,5.9,12.2,2288000,14018000,-5.3,9.0,7.2
12/1/1974,7.2,6.6,6.0,12.1,2096000,13165000,-8.4,9.7,8.1
1/1/1975,8.1,7.2,6.6,11.8,2140000,14477000,-9.1,10.3,8.1
2/1/1975,8.1,8.1,7.2,11.2,2178000,15426000,-10.9,11.2,8.6
3/1/1975,8.6,8.1,8.1,10.5,2733000,20876000,-11.9,9.9,8.8
4/1/1975,8.8,8.6,8.1,10.2,2101000,17894000,-11.5,9.2,9
5/1/1975,9.0,8.8,8.6,9.3,2494000,22891000,-12.4,10.5,8.8
6/1/1975,8.8,9.0,8.8,9.2,1982000,17509000,-11.7,10.6,8.6
7/1/1975,8.6,8.8,9.0,9.5,1768000,16579000,-11.0,10.9,8.4
8/1/1975,8.4,8.6,8.8,8.6,2260000,19771000,-9.1,9.7,8.4
9/1/1975,8.4,8.4,8.6,7.9,1781000,15580000,-8.0,10.4,8.4
10/1/1975,8.4,8.4,8.4,7.6,1685000,14925000,-7.3,10.6,8.3
11/1/1975,8.3,8.4,8.4,7.4,2003000,17472000,-4.0,12.5,8.2
12/1/1975,8.2,8.3,8.4,7.1,1497000,12793000,0.9,13.5,7.9
1/1/1976,7.9,8.2,8.3,6.7,1856000,15176000,3.7,13.5,7.7
2/1/1976,7.7,7.9,8.2,6.3,1393000,11463000,7.2,12.0,7.6
3/1/1976,7.6,7.7,7.9,6.1,1442000,11372000,8.6,12.5,7.7
4/1/1976,7.7,7.6,7.7,5.8,1481000,11489000,9.0,13.1,7.4
5/1/1976,7.4,7.7,7.6,6.2,1958000,14705000,9.8,10.2,7.6
6/1/1976,7.6,7.4,7.7,6.0,1575000,11958000,9.2,11.1,7.8
7/1/1976,7.8,7.6,7.4,5.6,1954000,14979000,8.7,10.6,7.8
8/1/1976,7.8,7.8,7.6,5.7,1554000,12061000,8.4,10.6,7.6
9/1/1976,7.6,7.8,7.8,5.5,1630000,12280000,7.3,10.8,7.7
10/1/1976,7.7,7.6,7.8,5.5,2045000,15465000,6.8,10.9,7.8
11/1/1976,7.8,7.7,7.6,5.1,1558000,12223000,8.3,10.5,7.8
12/1/1976,7.8,7.8,7.7,5.0,1495000,11694000,8.0,10.9,7.5
1/1/1977,7.5,7.8,7.8,5.2,2009000,14136000,5.8,9.7,7.6
2/1/1977,7.6,7.5,7.8,6.1,1803000,11396000,6.5,11.2,7.4
3/1/1977,7.4,7.6,7.5,6.4,1441000,10811000,7.6,11.1,7.2
4/1/1977,7.2,7.4,7.6,7.0,1837000,13356000,8.1,10.8,7
5/1/1977,7.0,7.2,7.4,6.7,1521000,10525000,8.5,12.0,7.2
6/1/1977,7.2,7.0,7.2,6.7,1445000,10477000,9.2,10.8,6.9
7/1/1977,6.9,7.2,7.0,6.7,1807000,12915000,8.7,11.4,7
8/1/1977,7.0,6.9,7.2,6.6,1469000,10442000,8.1,11.0,6.8
9/1/1977,6.8,7.0,6.9,6.4,1475000,10358000,8.2,10.8,6.8
10/1/1977,6.8,6.8,7.0,6.4,1795000,12881000,8.3,11.4,6.8
11/1/1977,6.8,6.8,6.8,6.7,1414000,10274000,6.9,11.6,6.4
12/1/1977,6.4,6.8,6.8,6.7,1798000,12535000,5.9,10.3,6.4
1/1/1978,6.4,6.4,6.8,6.8,1404000,9974000,5.1,9.4,6.3
2/1/1978,6.3,6.4,6.4,6.2,1533000,10222000,4.0,10.1,6.3
